time_s,cx_px,cy_px,tx_mm,ty_mm,tz_mm
13.2866,435.00,157.25,222.8898,4.2815,33.7684
13.3347,435.00,157.50,222.8898,4.0296,34.0074
13.3664,435.50,157.50,223.3935,4.0296,34.0147
13.4146,435.75,157.00,223.6454,4.5334,33.7684
13.4628,436.00,157.00,223.8972,4.5334,34.0147
13.4946,436.00,157.00,223.8972,4.5334,34.0147
13.5430,436.00,157.25,223.8972,4.2815,34.2684
13.5747,436.50,156.75,224.4009,4.7852,34.2753
13.6227,436.75,157.00,224.6528,4.5334,34.7608
13.6707,437.00,157.25,224.9046,4.2815,34.2684
13.7025,437.25,156.75,225.1565,4.7852,34.5219
13.7506,437.50,157.00,225.4083,4.5334,34.5285
13.7823,437.75,157.00,225.6602,4.5334,34.7608
13.8307,438.00,157.25,225.9120,4.2815,34.7608
13.8791,438.00,156.75,225.9120,4.7852,34.7608
13.9106,438.50,157.25,226.4158,4.2815,34.7678
13.9587,438.50,157.25,226.4158,4.2815,34.7678
13.9906,439.00,157.00,226.9195,4.5334,35.0143
14.0387,439.25,156.75,227.1713,4.7852,35.0210
14.0867,439.25,157.00,227.1713,4.5334,35.2606
14.1187,439.75,157.00,227.6750,4.5334,35.2606
14.1667,440.25,156.75,228.1787,4.7852,35.0210
14.1984,440.50,156.75,228.4306,4.7852,35.2673
14.2466,440.25,156.75,228.1787,4.7852,35.5213
14.2944,440.75,156.75,228.6824,4.7852,35.5209
14.3264,440.75,156.75,228.6824,4.7852,35.5212
14.3746,441.25,156.50,229.1861,5.0371,35.7605
14.4067,441.50,156.75,229.4380,4.7852,35.7605
14.4548,441.75,156.50,229.6898,5.0371,35.7744
14.5027,442.00,156.25,229.9417,5.2889,35.7678
14.5346,442.25,157.00,230.1936,4.5334,35.7673
14.5827,442.50,156.50,230.4454,5.0371,36.0139
14.6308,442.75,156.50,230.6973,5.0371,36.2603
14.6627,442.50,156.75,230.4454,4.7852,36.2603
14.7108,443.00,156.50,230.9491,5.0371,36.0347
14.7430,443.75,156.50,231.7047,5.0371,36.2603
14.7906,443.50,156.75,231.4528,4.7852,36.2603
14.8386,444.00,156.50,231.9565,5.0371,36.5270
14.8706,444.50,156.25,232.4602,5.2889,36.7668
14.9186,444.50,156.25,232.4602,5.2889,36.2745
14.9507,445.00,156.50,232.9639,5.0371,36.5270
14.9987,445.00,156.50,232.9639,5.0371,36.5270
15.0466,445.50,156.00,233.4676,5.5408,37.0203
15.0789,445.50,156.25,233.4676,5.2889,36.7808
15.1266,446.00,156.50,233.9713,5.0371,37.0068
15.1591,446.00,156.25,233.9713,5.2889,37.2600
15.2067,446.50,156.50,234.4751,5.0371,37.0270
15.2547,446.75,156.00,234.7269,5.5408,37.2738
15.2867,447.00,156.25,234.9788,5.2889,37.2600
15.3346,447.25,156.50,235.2306,5.0371,37.2669
15.3668,447.50,156.25,235.4825,5.2889,37.7600
15.4147,447.75,156.00,235.7343,5.5408,37.2738
15.4627,448.25,156.00,236.2380,5.5408,37.2664
15.4946,448.75,156.00,236.7417,5.5408,37.7664
15.5427,448.75,156.00,236.7417,5.5408,37.7664
15.5747,449.00,156.25,236.9936,5.2889,37.7799
15.6227,449.25,156.25,237.2454,5.2889,38.0201
15.6707,449.75,156.00,237.7491,5.5408,37.7799
15.7029,450.00,156.25,238.0010,5.2889,38.2664
15.7507,450.25,156.00,238.2528,5.5408,38.2599
15.7826,450.75,155.75,238.7565,5.7926,38.5193
15.8307,450.75,156.00,238.7565,5.5408,38.7597
15.8792,451.25,155.75,239.2603,5.7926,38.5196
15.9107,451.25,155.75,239.2603,5.7926,38.5196
15.9584,452.00,156.25,240.0158,5.2889,38.7597
15.9909,452.00,156.00,240.0158,5.5408,39.0128
16.0387,452.50,155.75,240.5195,5.7926,38.7660
16.0867,452.50,156.25,240.5195,5.2889,38.7660
16.1186,453.00,156.00,241.0232,5.5408,39.0128
16.1667,453.00,155.50,241.0232,6.0445,39.0321
16.1986,453.75,155.75,241.7788,5.7926,39.5188
16.2467,453.75,155.50,241.7788,6.0445,39.2596
16.2945,454.25,155.50,242.2825,6.0445,39.2785
16.3267,454.75,155.75,242.7862,5.7926,39.5188
16.3751,454.75,155.25,242.7862,6.2963,39.5191
16.4068,455.25,155.50,243.2899,6.0445,39.7595
16.4707,455.50,155.75,243.5417,5.7926,39.7595
16.5187,455.75,155.50,243.7936,6.0445,39.7719
16.5827,456.50,155.50,244.5492,6.0445,40.0125
16.6467,456.75,155.25,244.8010,6.2963,40.0184
16.7107,457.50,155.00,245.5566,6.5482,40.0312
16.7748,457.75,155.25,245.8084,6.2963,40.5187
16.8547,458.25,155.25,246.3121,6.2963,40.5184
16.9186,459.25,155.00,247.3195,6.5482,40.7714
16.9827,459.25,155.00,247.3195,6.5482,40.7714
17.0467,460.00,155.00,248.0751,6.5482,41.0122
17.1107,460.25,155.25,248.3270,6.2963,41.0183
17.1747,461.00,155.00,249.0825,6.5482,41.0122
17.2547,461.50,155.00,249.5862,6.5482,41.5120
17.3187,462.25,154.25,250.3418,7.3037,41.5305
17.3827,462.50,154.75,250.5936,6.8000,41.7709
17.4467,463.00,155.00,251.0973,6.5482,42.0238
17.5107,464.00,155.00,252.1048,6.5482,42.0238
17.5749,464.25,154.75,252.3566,6.8000,42.5178
17.6547,465.00,154.75,253.1122,6.8000,42.2765
17.7188,465.25,154.75,253.3640,6.8000,42.5178
17.7825,466.00,154.75,254.1196,6.8000,42.7649
17.8468,466.75,154.50,254.8751,7.0519,42.7764
17.9107,467.25,154.50,255.3788,7.0519,43.2759
17.9747,467.75,154.25,255.8826,7.3037,43.5174
18.0547,468.75,154.50,256.8900,7.0519,43.7699
18.1190,469.00,154.50,257.1418,7.0519,43.5232
18.1827,469.75,154.50,257.8974,7.0519,43.7699
18.2470,470.25,154.25,258.4011,7.3037,44.0173
